,Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Unnamed: 0,target
276919,276919,2021-01-08 12:43:27.828728+00:00,x,y,2021-01-23 05:00:00+00:00,2021-01-23 07:00:00+00:00,gamma,True,0.0,0,c-2,276919,7400.0
12092463,12092463,2021-07-01 04:45:11.397541+00:00,x,y,2021-07-01 13:00:00+00:00,2021-07-01 15:00:00+00:00,alpha,True,35.0,1,a-9,12092463,15377.0
11061788,11061788,2021-06-24 11:28:47.565115+00:00,x,y,2021-07-29 14:00:00+00:00,2021-07-29 16:00:00+00:00,gamma,True,20.0,1,c-4,11061788,6900.0
8799808,8799808,2021-06-05 11:09:48.655927+00:00,x,y,2021-06-09 16:00:00+00:00,2021-06-09 18:00:00+00:00,alpha,True,15.0,1,a-23,8799808,9707.0
16391150,16391150,2021-07-29 09:53:51.065306+00:00,x,y,2021-08-23 05:00:00+00:00,2021-08-23 06:55:00+00:00,beta,True,20.0,0,b-1,16391150,6500.0
37352,37352,2021-01-01 11:49:07.165618+00:00,x,y,2021-01-04 11:00:00+00:00,2021-01-04 13:00:00+00:00,gamma,True,32.0,1,c-4,37352,9655.0
21329543,21329543,2021-08-28 10:49:50.302029+00:00,x,y,2021-09-07 05:00:00+00:00,2021-09-07 06:55:00+00:00,beta,True,20.0,0,b-1,21329543,7300.0
5206710,5206710,2021-04-22 07:20:38.318085+00:00,x,y,2021-06-27 11:00:00+00:00,2021-06-27 13:00:00+00:00,gamma,True,20.0,1,c-4,5206710,8650.0
15128680,15128680,2021-07-19 18:37:51.671780+00:00,x,y,2021-07-24 16:00:00+00:00,2021-07-24 18:00:00+00:00,alpha,True,15.0,1,a-23,15128680,12945.0
10708838,10708838,2021-06-21 15:43:34.364957+00:00,x,y,2021-07-25 07:00:00+00:00,2021-07-25 09:00:00+00:00,alpha,True,15.0,1,a-5,10708838,9497.0
14249218,14249218,2021-07-13 11:09:29.505629+00:00,x,y,2021-08-03 14:00:00+00:00,2021-08-03 15:55:00+00:00,beta,True,20.0,0,b-9,14249218,6750.0
9070415,9070415,2021-06-08 07:23:26.057725+00:00,x,y,2021-06-22 05:00:00+00:00,2021-06-22 07:00:00+00:00,gamma,True,20.0,2,c-2,9070415,11900.0
